eV,barns
1.000000-5,0.000000+0
2.370000+3,1.246890+1
3.350000+3,1.220460+1
4.200000+3,1.220110+1
6.000000+3,1.198580+1
8.400000+3,1.184390+1
1.100000+4,1.176950+1
1.400000+4,1.164880+1
1.770000+4,1.154410+1
2.600000+4,1.135360+1
3.600000+4,1.109660+1
5.000000+4,1.076660+1
7.100000+4,1.026460+1
1.000000+5,9.818090+0
1.600000+5,8.846340+0
3.000000+5,7.130120+0
4.400000+5,5.959750+0
6.000000+5,5.056070+0
7.610000+5,4.433450+0
9.580000+5,3.939750+0
1.169000+6,3.665110+0
1.727000+6,3.616550+0
2.370000+6,4.059860+0
3.344000+6,4.547860+0
4.897000+6,4.351930+0
5.600000+6,4.061390+0
6.000000+6,3.923210+0
7.400000+6,3.346680+0
9.000000+6,2.861030+0
1.100000+7,2.625020+0
1.250000+7,2.659520+0
1.400000+7,2.791470+0
1.600000+7,2.998290+0
1.900000+7,3.236820+0
2.200000+7,3.286480+0
2.500000+7,3.162410+0
2.800000+7,2.943930+0
2.250000+3,0.000000+0
2.650000+3,1.236030+1
3.750000+3,1.217590+1
4.700000+3,1.210850+1
6.700000+3,1.200080+1
9.500000+3,1.187880+1
1.130000+4,1.174850+1
1.500000+4,1.161750+1
2.200000+4,1.138790+1
2.800000+4,1.123880+1
4.000000+4,1.098390+1
5.600000+4,1.065500+1
8.000000+4,1.016680+1
1.200000+5,9.470860+0
2.000000+5,8.279040+0
3.400000+5,6.747321+0
5.000000+5,5.579540+0
6.400000+5,4.878810+0
8.250000+5,4.245780+0
1.040000+6,3.808610+0
1.400000+6,3.554680+0
2.000000+6,3.782660+0
2.600000+6,4.220420+0
3.927000+6,4.590090+0
5.382000+6,4.144040+0
5.700000+6,4.032850+0
6.400000+6,3.761870+0
7.760000+6,3.233650+0
9.370000+6,2.788410+0
1.147000+7,2.612240+0
1.286000+7,2.686160+0
1.450000+7,2.843200+0
1.700000+7,3.090040+0
2.000000+7,3.280910+0
2.300000+7,3.260390+0
2.600000+7,3.096260+0
2.900000+7,2.863010+0
2.250000+3,1.240973+1
3.000000+3,1.230540+1
4.000000+3,1.218640+1
5.300000+3,1.219060+1
7.500000+3,1.198940+1
1.000000+4,1.184120+1
1.200000+4,1.172460+1
1.600000+4,1.159230+1
2.300000+4,1.138500+1
3.000000+4,1.119500+1
4.500000+4,1.084200+1
6.000000+4,1.055310+1
9.000000+4,1.001700+1
1.400000+5,9.152180+0
2.400000+5,7.780840+0
4.000000+5,6.247370+0
5.400000+5,5.354920+0
7.000000+5,4.641230+0
9.000000+5,4.060320+0
1.100000+6,3.733490+0
1.555000+6,3.558810+0
2.171000+6,3.909600+0
2.927000+6,4.403920+0
4.400000+6,4.512661+0
5.500000+6,4.101120+0
5.850000+6,3.978570+0
7.000000+6,3.498130+0
8.400000+6,3.028380+0
1.000000+7,2.701440+0
1.210000+7,2.635400+0
1.350000+7,2.742290+0
1.500000+7,2.895830+0
1.800000+7,3.165350+0
2.100000+7,3.293930+0
2.400000+7,3.218100+0
2.700000+7,3.022500+0
3.000000+7,2.781850+0
