Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi Major Axis,Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.33,3.261410056954774e-05,5429,3.7,4.3,1407.6,4222.6,0.38703759437934293 km,0.30749100762434844,0.4665841811343374,57.9,0.24093086926762491,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87,8.091024252793725e-05,5243,8.9,10.4,-5832.5,2802.0,0.7232723266294457 km,0.7185931156438579,0.7279515376150336,108.2,0.6151950718685831,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.97,8.526859333165628e-05,5514,9.8,11.2,23.9,24.0,1.0000142334913593 km,0.9833027656856882,1.0167257012970305,149.6,0.9998631074606433,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,0.073,2.3228940249882844e-05,3340,1.6,2.4,655.7,708.7,0.002566881454951083 km,0.0024265051253834456,0.0027139423716409884,0.3845,0.07474332648870637,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,0.642,4.5401715734447276e-05,3934,3.7,5.0,24.6,24.7,1.5240858638772055 km,1.3817041581728875,1.6664675695815232,228.0,1.8809034907597535,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1898.0,0.0009557890050904313,1326,23.1,59.5,9.9,9.9,5.2039510746859845 km,4.95060522275201,5.457296926619958,778.5,11.85763175906913,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,568.0,0.0008057333933697492,687,9.0,35.5,10.7,10.7,9.572328759088412 km,9.07499547719164,10.070330499697413,1432.05,29.423682409308693,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,86.8,0.00034170272451611837,1270,8.7,21.3,-17.2,17.2,19.16471127954363 km,18.266971229022978,20.06311978877651,2867.05,83.74811772758385,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,102.0,0.00033107423099171154,1638,11.0,23.5,16.1,16.1,30.18091085704203 km,29.887457482374444,30.47436423170961,4515.0,163.72347707049965,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,0.013,1.5882579002509825e-05,1850,0.7,1.3,-153.3,153.3,39.48184537896634 km,29.658176144080635,49.30484615513982,5906.35,247.93976728268308,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
